AirQualityStation,UnitOfMeasurement,mean
STA.DE_DENW064,µg/m3,16.303464540607816
STA.DE_DEHE062,µg/m3,21.749968021033
STA.DE_DENW021,µg/m3,19.768376202138263
STA.DE_DEBE068,µg/m3,25.560899851480407
STA.DE_DEHE046,µg/m3,17.77559036797395
STA.DE_DENW381,µg/m3,20.396385503942028
STA.DE_DEHH015,µg/m3,26.65530757664723
STA.DE_DEBY118,µg/m3,20.88945425472023
STA.DE_DEBW022,µg/m3,18.78381642
STA.DE_DEST103,µg/m3,22.00030562140805
STA.DE_DENW043,µg/m3,21.07539999627338
STA.DE_DESN020,µg/m3,24.401999996000004
STA.DE_DEBY035,µg/m3,17.629100648909613
STA.DE_DEHE020,µg/m3,20.70537158773121
STA.DE_DEHE022,µg/m3,18.51372687121951
STA.DE_DERP025,µg/m3,17.793431387694525
STA.DE_DEHE001,µg/m3,16.898999998
STA.DE_DENW116,µg/m3,35.669999997
STA.DE_DENI042,µg/m3,16.80642830610951
STA.DE_DEBB032,µg/m3,28.15035867606887
STA.DE_DEHB012,µg/m3,23.811781605790227
STA.DE_DEUB005,µg/m3,15.658786123916183
STA.DE_DESN077,µg/m3,27.160299777658643
STA.DE_DENI067,µg/m3,23.129824402158278
STA.DE_DENW067,µg/m3,21.826275463027255
STA.DE_DEHE053,µg/m3,18.452999999
STA.DE_DENW382,µg/m3,21.885339362986425
STA.DE_DEBE056,µg/m3,22.665977007916663
STA.DE_DEBB075,µg/m3,18.718518515555555
STA.DE_DESL030,µg/m3,21.761707313658537
STA.DE_DEHE112,µg/m3,19.564567217101867
STA.DE_DEBW004,µg/m3,18.24758453733333
STA.DE_DEST095,µg/m3,26.32121183586207
STA.DE_DESN059,µg/m3,20.503999996666668
STA.DE_DEBB086,µg/m3,22.019999997333336
STA.DE_DENW383,µg/m3,25.225306565693437
STA.DE_DESH058,µg/m3,22.82081491764706
STA.DE_DEMV031,µg/m3,26.113213769799135
STA.DE_DEBB007,µg/m3,28.182209465509324
STA.DE_DENW182,µg/m3,21.26710473107604
STA.DE_DENW053,µg/m3,21.75247337781295
STA.DE_DERP014,µg/m3,12.313865922875722
STA.DE_DENW082,µg/m3,23.907112734612006
STA.DE_DEUB004,µg/m3,12.113169134666666
STA.DE_DESN045,µg/m3,24.806901000774747
STA.DE_DEMV017,µg/m3,27.550887116425468
STA.DE_DEBB053,µg/m3,25.10502151718795
STA.DE_DEBW098,µg/m3,22.39337175449568
STA.DE_DEBW099,µg/m3,24.555316088247128
STA.DE_DEBW118,µg/m3,27.077958232900237
STA.DE_DEBW122,µg/m3,16.60823699053468
STA.DE_DEBW136,µg/m3,25.84382183561782
STA.DE_DEBW147,µg/m3,23.427089333170027
STA.DE_DEBY099,µg/m3,18.62573296431851
STA.DE_DEBY109,µg/m3,16.315955345523673
STA.DE_DEBY110,µg/m3,26.927051279497125
STA.DE_DEBB092,µg/m3,27.929124816786228
STA.DE_DENI011,µg/m3,16.75164971796537
STA.DE_DESN083,µg/m3,24.18494260754663
STA.DE_DEHE135,µg/m3,18.868729371492112
STA.DE_DESH027,µg/m3,27.190599995333333
STA.DE_DEUB044,µg/m3,5.225739571
STA.DE_DEBB067,µg/m3,28.89626972381636
STA.DE_DENW082,µg/m3,25.38333332833333
STA.DE_DEBW080,µg/m3,20.127977040803444
STA.DE_DEST095,µg/m3,26.33885722243516
STA.DE_DEBW010,µg/m3,18.665517237887933
STA.DE_DEST105,µg/m3,18.261705823894584
STA.DE_DEBW009,µg/m3,18.1368723066571
STA.DE_DETH095,µg/m3,20.24028341643165
STA.DE_DEHB013,µg/m3,24.317136687021584
STA.DE_DENW081,µg/m3,18.76959216663948
STA.DE_DEBB086,µg/m3,27.22381635229555
STA.DE_DEBY021,µg/m3,18.97210131652299
STA.DE_DENW211,µg/m3,24.37516378974138
STA.DE_DERP044,µg/m3,16.086666663333332
STA.DE_DEBE064,µg/m3,28.509598274634143
STA.DE_DESL006,µg/m3,14.752152076542323
STA.DE_DENI038,µg/m3,18.583794686916427
STA.DE_DENI066,µg/m3,25.337268318396944
STA.DE_DENW378,µg/m3,32.43448275586207
STA.DE_DESH053,µg/m3,27.99719798797705
STA.DE_DESH057,µg/m3,23.957410068575538
STA.DE_DEBB109,µg/m3,25.645050211420376
STA.DE_DEHE013,µg/m3,19.20170206543759
STA.DE_DENW096,µg/m3,21.09666666233333
STA.DE_DEBB007,µg/m3,22.56206896
STA.DE_DEBB032,µg/m3,23.403448271034485
STA.DE_DEBY001,µg/m3,20.40768788324247
STA.DE_DEMV058,µg/m3,29.147130555982784
STA.DE_DESL012,µg/m3,18.034359708719425
STA.DE_DEST133,µg/m3,
STA.DE_DEHE045,µg/m3,16.74273625035868
STA.DE_DETH093,µg/m3,23.48216785569584
STA.DE_DEBB110,µg/m3,
STA.DE_DESH008,µg/m3,22.268965314176302
STA.DE_DENI070,µg/m3,18.069262790172168
STA.DE_DEBW112,µg/m3,16.471014487666668
STA.DE_DESN092,µg/m3,21.61199999733333
STA.DE_DENI054,µg/m3,18.365913448618706
STA.DE_DEST002,µg/m3,18.148002573299568
STA.DE_DETH043,µg/m3,28.64295370460432
STA.DE_DEST106,µg/m3,17.854419216238245
STA.DE_DENW053,µg/m3,21.986666662666668
STA.DE_DERP045,µg/m3,19.237496353059164
STA.DE_DENW094,µg/m3,18.14952631222222
STA.DE_DESN049,µg/m3,18.732705878766144
STA.DE_DEUB004,µg/m3,12.314089502947532
STA.DE_DESN051,µg/m3,19.51450071344333
STA.DE_DEHE116,µg/m3,23.116690199684683
STA.DE_DEBY006,µg/m3,23.12031890179598
STA.DE_DEHH068,µg/m3,23.670176974848925
STA.DE_DEBW013,µg/m3,20.538074709224137
STA.DE_DEBB110,µg/m3,
STA.DE_DENI016,µg/m3,18.39311717423803
STA.DE_DENW112,µg/m3,25.72333332933333
STA.DE_DERP009,µg/m3,19.829629626296292
STA.DE_DESL020,µg/m3,20.03153514708752
